GEO_ID,NAME,,P1_001N,P1_001NA,P1_002N,P1_002NA,P1_003N,P1_003NA,P1_004N,P1_004NA,P1_005N,P1_005NA,P1_006N,P1_006NA,P1_007N,P1_007NA,P1_008N,P1_008NA,P1_009N,P1_009NA,P1_010N,P1_010NA,P1_011N,P1_011NA,P1_012N,P1_012NA,P1_013N,P1_013NA,P1_014N,P1_014NA,P1_015N,P1_015NA,P1_016N,P1_016NA,P1_017N,P1_017NA,P1_018N,P1_018NA,P1_019N,P1_019NA,P1_020N,P1_020NA,P1_021N,P1_021NA,P1_022N,P1_022NA,P1_023N,P1_023NA,P1_024N,P1_024NA,P1_025N,P1_025NA,P1_026N,P1_026NA,P1_027N,P1_027NA,P1_028N,P1_028NA,P1_029N,P1_029NA,P1_030N,P1_030NA,P1_031N,P1_031NA,P1_032N,P1_032NA,P1_033N,P1_033NA,P1_034N,P1_034NA,P1_035N,P1_035NA,P1_036N,P1_036NA,P1_037N,P1_037NA,P1_038N,P1_038NA,P1_039N,P1_039NA,P1_040N,P1_040NA,P1_041N,P1_041NA,P1_042N,P1_042NA,P1_043N,P1_043NA,P1_044N,P1_044NA,P1_045N,P1_045NA,P1_046N,P1_046NA,P1_047N,P1_047NA,P1_048N,P1_048NA,P1_049N,P1_049NA,P1_050N,P1_050NA,P1_051N,P1_051NA,P1_052N,P1_052NA,P1_053N,P1_053NA,P1_054N,P1_054NA,P1_055N,P1_055NA,P1_056N,P1_056NA,P1_057N,P1_057NA,P1_058N,P1_058NA,P1_059N,P1_059NA,P1_060N,P1_060NA,P1_061N,P1_061NA,P1_062N,P1_062NA,P1_063N,P1_063NA,P1_064N,P1_064NA,P1_065N,P1_065NA,P1_066N,P1_066NA,P1_067N,P1_067NA,P1_068N,P1_068NA,P1_069N,P1_069NA,P1_070N,P1_070NA,P1_071N,P1_071NA
Geography,County,State, !!Total:,Annotation of  !!Total:, !!Total:!!Population of one race:,Annotation of  !!Total:!!Population of one race:, !!Total:!!Population of one race:!!White alone,Annotation of  !!Total:!!Population of one race:!!White alone, !!Total:!!Population of one race:!!Black or African American alone,Annotation of  !!Total:!!Population of one race:!!Black or African American alone, !!Total:!!Population of one race:!!American Indian and Alaska Native alone,Annotation of  !!Total:!!Population of one race:!!American Indian and Alaska Native alone, !!Total:!!Population of one race:!!Asian alone,Annotation of  !!Total:!!Population of one race:!!Asian alone, !!Total:!!Population of one race:!!Native Hawaiian and Other Pacific Islander alone,Annotation of  !!Total:!!Population of one race:!!Native Hawaiian and Other Pacific Islander alone, !!Total:!!Population of one race:!!Some Other Race alone,Annotation of  !!Total:!!Population of one race:!!Some Other Race alone, !!Total:!!Population of two or more races:,Annotation of  !!Total:!!Population of two or more races:, !!Total:!!Population of two or more races:!!Population of two races:,Annotation of  !!Total:!!Population of two or more races:!!Population of two races:, !!Total:!!Population of two or more races:!!Population of two races:!!White; Black or African American,Annotation of  !!Total:!!Population of two or more races:!!Population of two races:!!White; Black or African American, !!Total:!!Population of two or more races:!!Population of two races:!!White; American Indian and Alaska Native,Annotation of  !!Total:!!Population of two or more races:!!Population of two races:!!White; American Indian and Alaska Native, !!Total:!!Population of two or more races:!!Population of two races:!!White; Asian,Annotation of  !!Total:!!Population of two or more races:!!Population of two races:!!White; Asian, !!Total:!!Population of two or more races:!!Population of two races:!!White; Native Hawaiian and Other Pacific Islander,Annotation of  !!Total:!!Population of two or more races:!!Population of two races:!!White; Native Hawaiian and Other Pacific Islander, !!Total:!!Population of two or more races:!!Population of two races:!!White; Some Other Race,Annotation of  !!Total:!!Population of two or more races:!!Population of two races:!!White; Some Other Race, !!Total:!!Population of two or more races:!!Population of two races:!!Black or African American; American Indian and Alaska Native,Annotation of  !!Total:!!Population of two or more races:!!Population of two races:!!Black or African American; American Indian and Alaska Native, !!Total:!!Population of two or more races:!!Population of two races:!!Black or African American; Asian,Annotation of  !!Total:!!Population of two or more races:!!Population of two races:!!Black or African American; Asian, !!Total:!!Population of two or more races:!!Population of two races:!!Black or African American; Native Hawaiian and Other Pacific Islander,Annotation of  !!Total:!!Population of two or more races:!!Population of two races:!!Black or African American; Native Hawaiian and Other Pacific Islander, !!Total:!!Population of two or more races:!!Population of two races:!!Black or African American; Some Other Race,Annotation of  !!Total:!!Population of two or more races:!!Population of two races:!!Black or African American; Some Other Race, !!Total:!!Population of two or more races:!!Population of two races:!!American Indian and Alaska Native; Asian,Annotation of  !!Total:!!Population of two or more races:!!Population of two races:!!American Indian and Alaska Native; Asian, !!Total:!!Population of two or more races:!!Population of two races:!!American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,Annotation of  !!Total:!!Population of two or more races:!!Population of two races:!!American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander, !!Total:!!Population of two or more races:!!Population of two races:!!American Indian and Alaska Native; Some Other Race,Annotation of  !!Total:!!Population of two or more races:!!Population of two races:!!American Indian and Alaska Native; Some Other Race, !!Total:!!Population of two or more races:!!Population of two races:!!Asian; Native Hawaiian and Other Pacific Islander,Annotation of  !!Total:!!Population of two or more races:!!Population of two races:!!Asian; Native Hawaiian and Other Pacific Islander, !!Total:!!Population of two or more races:!!Population of two races:!!Asian; Some Other Race,Annotation of  !!Total:!!Population of two or more races:!!Population of two races:!!Asian; Some Other Race, !!Total:!!Population of two or more races:!!Population of two races:!!Native Hawaiian and Other Pacific Islander; Some Other Race,Annotation of  !!Total:!!Population of two or more races:!!Population of two races:!!Native Hawaiian and Other Pacific Islander; Some Other Race, !!Total:!!Population of two or more races:!!Population of three races:,Annotation of  !!Total:!!Population of two or more races:!!Population of three races:, !!Total:!!Population of two or more races:!!Population of three races:!!White; Black or African American; American Indian and Alaska Native,Annotation of  !!Total:!!Population of two or more races:!!Population of three races:!!White; Black or African American; American Indian and Alaska Native, !!Total:!!Population of two or more races:!!Population of three races:!!White; Black or African American; Asian,Annotation of  !!Total:!!Population of two or more races:!!Population of three races:!!White; Black or African American; Asian, !!Total:!!Population of two or more races:!!Population of three races:!!White; Black or African American; Native Hawaiian and Other Pacific Islander,Annotation of  !!Total:!!Population of two or more races:!!Population of three races:!!White; Black or African American; Native Hawaiian and Other Pacific Islander, !!Total:!!Population of two or more races:!!Population of three races:!!White; Black or African American; Some Other Race,Annotation of  !!Total:!!Population of two or more races:!!Population of three races:!!White; Black or African American; Some Other Race, !!Total:!!Population of two or more races:!!Population of three races:!!White; American Indian and Alaska Native; Asian,Annotation of  !!Total:!!Population of two or more races:!!Population of three races:!!White; American Indian and Alaska Native; Asian, !!Total:!!Population of two or more races:!!Population of three races:!!White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,Annotation of  !!Total:!!Population of two or more races:!!Population of three races:!!White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander, !!Total:!!Population of two or more races:!!Population of three races:!!White; American Indian and Alaska Native; Some Other Race,Annotation of  !!Total:!!Population of two or more races:!!Population of three races:!!White; American Indian and Alaska Native; Some Other Race, !!Total:!!Population of two or more races:!!Population of three races:!!White; Asian; Native Hawaiian and Other Pacific Islander,Annotation of  !!Total:!!Population of two or more races:!!Population of three races:!!White; Asian; Native Hawaiian and Other Pacific Islander, !!Total:!!Population of two or more races:!!Population of three races:!!White; Asian; Some Other Race,Annotation of  !!Total:!!Population of two or more races:!!Population of three races:!!White; Asian; Some Other Race, !!Total:!!Population of two or more races:!!Population of three races:!!White; Native Hawaiian and Other Pacific Islander; Some Other Race,Annotation of  !!Total:!!Population of two or more races:!!Population of three races:!!White; Native Hawaiian and Other Pacific Islander; Some Other Race, !!Total:!!Population of two or more races:!!Population of three races:!!Black or African American; American Indian and Alaska Native; Asian,Annotation of  !!Total:!!Population of two or more races:!!Population of three races:!!Black or African American; American Indian and Alaska Native; Asian, !!Total:!!Population of two or more races:!!Population of three races:!!Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,Annotation of  !!Total:!!Population of two or more races:!!Population of three races:!!Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander, !!Total:!!Population of two or more races:!!Population of three races:!!Black or African American; American Indian and Alaska Native; Some Other Race,Annotation of  !!Total:!!Population of two or more races:!!Population of three races:!!Black or African American; American Indian and Alaska Native; Some Other Race, !!Total:!!Population of two or more races:!!Population of three races:!!Black or African American; Asian; Native Hawaiian and Other Pacific Islander,Annotation of  !!Total:!!Population of two or more races:!!Population of three races:!!Black or African American; Asian; Native Hawaiian and Other Pacific Islander, !!Total:!!Population of two or more races:!!Population of three races:!!Black or African American; Asian; Some Other Race,Annotation of  !!Total:!!Population of two or more races:!!Population of three races:!!Black or African American; Asian; Some Other Race, !!Total:!!Population of two or more races:!!Population of three races:!!Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race,Annotation of  !!Total:!!Population of two or more races:!!Population of three races:!!Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race, !!Total:!!Population of two or more races:!!Population of three races:!!American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,Annotation of  !!Total:!!Population of two or more races:!!Population of three races:!!American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander, !!Total:!!Population of two or more races:!!Population of three races:!!American Indian and Alaska Native; Asian; Some Other Race,Annotation of  !!Total:!!Population of two or more races:!!Population of three races:!!American Indian and Alaska Native; Asian; Some Other Race, !!Total:!!Population of two or more races:!!Population of three races:!!American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,Annotation of  !!Total:!!Population of two or more races:!!Population of three races:!!American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race, !!Total:!!Population of two or more races:!!Population of three races:!!Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,Annotation of  !!Total:!!Population of two or more races:!!Population of three races:!!Asian; Native Hawaiian and Other Pacific Islander; Some Other Race, !!Total:!!Population of two or more races:!!Population of four races:,Annotation of  !!Total:!!Population of two or more races:!!Population of four races:, !!Total:!!Population of two or more races:!!Population of four races:!!White; Black or African American; American Indian and Alaska Native; Asian,Annotation of  !!Total:!!Population of two or more races:!!Population of four races:!!White; Black or African American; American Indian and Alaska Native; Asian, !!Total:!!Population of two or more races:!!Population of four races:!!White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,Annotation of  !!Total:!!Population of two or more races:!!Population of four races:!!White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander, !!Total:!!Population of two or more races:!!Population of four races:!!White; Black or African American; American Indian and Alaska Native; Some Other Race,Annotation of  !!Total:!!Population of two or more races:!!Population of four races:!!White; Black or African American; American Indian and Alaska Native; Some Other Race, !!Total:!!Population of two or more races:!!Population of four races:!!White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander,Annotation of  !!Total:!!Population of two or more races:!!Population of four races:!!White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander, !!Total:!!Population of two or more races:!!Population of four races:!!White; Black or African American; Asian; Some Other Race,Annotation of  !!Total:!!Population of two or more races:!!Population of four races:!!White; Black or African American; Asian; Some Other Race, !!Total:!!Population of two or more races:!!Population of four races:!!White; Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race,Annotation of  !!Total:!!Population of two or more races:!!Population of four races:!!White; Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race, !!Total:!!Population of two or more races:!!Population of four races:!!White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,Annotation of  !!Total:!!Population of two or more races:!!Population of four races:!!White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander, !!Total:!!Population of two or more races:!!Population of four races:!!White; American Indian and Alaska Native; Asian; Some Other Race,Annotation of  !!Total:!!Population of two or more races:!!Population of four races:!!White; American Indian and Alaska Native; Asian; Some Other Race, !!Total:!!Population of two or more races:!!Population of four races:!!White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,Annotation of  !!Total:!!Population of two or more races:!!Population of four races:!!White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race, !!Total:!!Population of two or more races:!!Population of four races:!!White; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,Annotation of  !!Total:!!Population of two or more races:!!Population of four races:!!White; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race, !!Total:!!Population of two or more races:!!Population of four races:!!Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,Annotation of  !!Total:!!Population of two or more races:!!Population of four races:!!Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander, !!Total:!!Population of two or more races:!!Population of four races:!!Black or African American; American Indian and Alaska Native; Asian; Some Other Race,Annotation of  !!Total:!!Population of two or more races:!!Population of four races:!!Black or African American; American Indian and Alaska Native; Asian; Some Other Race, !!Total:!!Population of two or more races:!!Population of four races:!!Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,Annotation of  !!Total:!!Population of two or more races:!!Population of four races:!!Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race, !!Total:!!Population of two or more races:!!Population of four races:!!Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,Annotation of  !!Total:!!Population of two or more races:!!Population of four races:!!Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race, !!Total:!!Population of two or more races:!!Population of four races:!!American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,Annotation of  !!Total:!!Population of two or more races:!!Population of four races:!!American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race, !!Total:!!Population of two or more races:!!Population of five races:,Annotation of  !!Total:!!Population of two or more races:!!Population of five races:, !!Total:!!Population of two or more races:!!Population of five races:!!White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,Annotation of  !!Total:!!Population of two or more races:!!Population of five races:!!White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander, !!Total:!!Population of two or more races:!!Population of five races:!!White; Black or African American; American Indian and Alaska Native; Asian; Some Other Race,Annotation of  !!Total:!!Population of two or more races:!!Population of five races:!!White; Black or African American; American Indian and Alaska Native; Asian; Some Other Race, !!Total:!!Population of two or more races:!!Population of five races:!!White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,Annotation of  !!Total:!!Population of two or more races:!!Population of five races:!!White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race, !!Total:!!Population of two or more races:!!Population of five races:!!White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,Annotation of  !!Total:!!Population of two or more races:!!Population of five races:!!White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race, !!Total:!!Population of two or more races:!!Population of five races:!!White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,Annotation of  !!Total:!!Population of two or more races:!!Population of five races:!!White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race, !!Total:!!Population of two or more races:!!Population of five races:!!Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,Annotation of  !!Total:!!Population of two or more races:!!Population of five races:!!Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race, !!Total:!!Population of two or more races:!!Population of six races:,Annotation of  !!Total:!!Population of two or more races:!!Population of six races:, !!Total:!!Population of two or more races:!!Population of six races:!!White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,Annotation of  !!Total:!!Population of two or more races:!!Population of six races:!!White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race
0500000US01001,Autauga County, Alabama,58805,null,55648,null,42160,null,11445,null,217,null,881,null,35,null,910,null,3157,null,2979,null,534,null,1007,null,342,null,29,null,848,null,49,null,54,null,20,null,56,null,10,null,0,null,8,null,3,null,14,null,5,null,168,null,62,null,9,null,0,null,15,null,15,null,3,null,32,null,13,null,5,null,0,null,8,null,0,null,6,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,8,null,2,null,4,null,0,null,0,null,0,null,0,null,0,null,1,null,0,null,1,null,0,null,0,null,0,null,0,null,0,null,2,null,2,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null
0500000US01003,Baldwin County, Alabama,231767,null,216743,null,189399,null,18217,null,1582,null,2067,null,143,null,5335,null,15024,null,14386,null,1955,null,4793,null,1107,null,97,null,5986,null,119,null,78,null,8,null,167,null,7,null,3,null,24,null,23,null,19,null,0,null,600,null,210,null,48,null,8,null,65,null,42,null,17,null,126,null,48,null,30,null,0,null,0,null,0,null,0,null,1,null,3,null,0,null,0,null,0,null,0,null,2,null,38,null,18,null,1,null,14,null,0,null,0,null,0,null,2,null,2,null,0,null,0,null,1,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null
0500000US01005,Barbour County, Alabama,25223,null,24523,null,11317,null,11933,null,116,null,117,null,1,null,1039,null,700,null,662,null,228,null,185,null,20,null,0,null,151,null,27,null,0,null,6,null,38,null,3,null,0,null,0,null,3,null,1,null,0,null,28,null,13,null,1,null,0,null,5,null,4,null,0,null,4,null,1,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,8,null,0,null,0,null,8,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,2,null,2,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null
0500000US01007,Bibb County, Alabama,22293,null,21534,null,16555,null,4413,null,60,null,32,null,9,null,465,null,759,null,700,null,166,null,303,null,10,null,0,null,189,null,16,null,4,null,1,null,0,null,0,null,0,null,6,null,4,null,0,null,1,null,49,null,18,null,0,null,1,null,8,null,1,null,0,null,10,null,0,null,4,null,0,null,0,null,0,null,7,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,10,null,0,null,1,null,8,null,0,null,0,null,0,null,0,null,0,null,0,null,1,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null
0500000US01009,Blount County, Alabama,59134,null,55478,null,50663,null,845,null,337,null,178,null,24,null,3431,null,3656,null,3524,null,316,null,1337,null,131,null,30,null,1644,null,3,null,3,null,0,null,20,null,4,null,0,null,29,null,0,null,2,null,5,null,109,null,28,null,4,null,1,null,8,null,17,null,4,null,44,null,0,null,1,null,1,null,1,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,22,null,14,null,0,null,5,null,0,null,1,null,0,null,0,null,2,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,1,null,0,null,0,null,1,null,0,null,0,null,0,null,0,null,0,null
0500000US01011,Bullock County, Alabama,10357,null,10109,null,2320,null,7396,null,72,null,9,null,10,null,302,null,248,null,222,null,49,null,32,null,1,null,0,null,105,null,6,null,11,null,3,null,5,null,2,null,0,null,4,null,0,null,3,null,1,null,21,null,9,null,0,null,2,null,1,null,0,null,0,null,2,null,1,null,0,null,0,null,0,null,0,null,6,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,5,null,0,null,0,null,4,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,1,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null
0500000US01013,Butler County, Alabama,19051,null,18464,null,9752,null,8430,null,29,null,143,null,5,null,105,null,587,null,547,null,223,null,138,null,27,null,1,null,91,null,31,null,3,null,0,null,23,null,2,null,3,null,0,null,3,null,0,null,2,null,37,null,11,null,5,null,4,null,3,null,0,null,1,null,0,null,4,null,0,null,0,null,4,null,0,null,0,null,4,null,0,null,0,null,0,null,0,null,1,null,0,null,3,null,1,null,0,null,0,null,0,null,0,null,0,null,0,null,1,null,1,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null
0500000US01015,Calhoun County, Alabama,116441,null,110412,null,80586,null,25559,null,487,null,1190,null,119,null,2471,null,6029,null,5732,null,1290,null,1940,null,393,null,50,null,1639,null,131,null,47,null,22,null,160,null,0,null,0,null,36,null,12,null,7,null,5,null,265,null,120,null,33,null,0,null,43,null,17,null,0,null,20,null,11,null,3,null,2,null,5,null,0,null,1,null,3,null,4,null,2,null,0,null,0,null,0,null,1,null,28,null,10,null,0,null,5,null,4,null,2,null,0,null,2,null,5,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,4,null,0,null,4,null,0,null,0,null,0,null,0,null,0,null,0,null
0500000US01017,Chambers County, Alabama,34772,null,33562,null,18850,null,13512,null,106,null,401,null,13,null,680,null,1210,null,1127,null,334,null,293,null,48,null,1,null,349,null,60,null,1,null,0,null,29,null,2,null,5,null,1,null,4,null,0,null,0,null,66,null,27,null,14,null,8,null,5,null,6,null,0,null,1,null,2,null,0,null,0,null,0,null,0,null,0,null,2,null,0,null,1,null,0,null,0,null,0,null,0,null,17,null,2,null,2,null,12,null,0,null,0,null,0,null,1,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null
0500000US01019,Cherokee County, Alabama,24971,null,24051,null,22707,null,987,null,109,null,56,null,1,null,191,null,920,null,888,null,179,null,457,null,21,null,9,null,176,null,11,null,0,null,3,null,15,null,1,null,1,null,2,null,6,null,7,null,0,null,25,null,10,null,2,null,5,null,0,null,3,null,0,null,3,null,0,null,2,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,7,null,0,null,0,null,7,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null
0500000US01021,Chilton County, Alabama,45014,null,43011,null,35527,null,4067,null,338,null,181,null,6,null,2892,null,2003,null,1941,null,383,null,595,null,70,null,5,null,804,null,13,null,1,null,0,null,31,null,4,null,0,null,35,null,0,null,0,null,0,null,45,null,24,null,1,null,0,null,0,null,0,null,0,null,13,null,0,null,0,null,4,null,0,null,0,null,0,null,0,null,0,null,0,null,2,null,0,null,0,null,1,null,14,null,1,null,5,null,8,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,3,null,0,null,1,null,2,null,0,null,0,null,0,null,0,null,0,null
0500000US01023,Choctaw County, Alabama,12665,null,12405,null,7074,null,5232,null,30,null,22,null,0,null,47,null,260,null,247,null,82,null,67,null,12,null,0,null,41,null,32,null,1,null,0,null,6,null,0,null,1,null,1,null,4,null,0,null,0,null,10,null,0,null,0,null,0,null,1,null,0,null,0,null,4,null,0,null,4,null,0,null,0,null,0,null,1,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,1,null,0,null,0,null,1,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,2,null,1,null,1,null,0,null,0,null,0,null,0,null,0,null,0,null
0500000US01025,Clarke County, Alabama,23087,null,22535,null,12029,null,10255,null,74,null,94,null,1,null,82,null,552,null,515,null,176,null,159,null,17,null,4,null,95,null,34,null,11,null,2,null,9,null,1,null,0,null,2,null,4,null,0,null,1,null,29,null,16,null,3,null,0,null,5,null,0,null,0,null,2,null,0,null,2,null,0,null,0,null,0,null,0,null,0,null,1,null,0,null,0,null,0,null,0,null,0,null,8,null,1,null,0,null,0,null,1,null,0,null,0,null,0,null,6,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null
0500000US01027,Clay County, Alabama,14236,null,13641,null,11375,null,1963,null,56,null,48,null,4,null,195,null,595,null,546,null,178,null,187,null,8,null,0,null,142,null,7,null,4,null,0,null,15,null,0,null,0,null,5,null,0,null,0,null,0,null,30,null,11,null,2,null,0,null,0,null,1,null,0,null,4,null,0,null,1,null,3,null,0,null,2,null,2,null,3,null,1,null,0,null,0,null,0,null,0,null,0,null,10,null,1,null,0,null,4,null,0,null,0,null,0,null,0,null,2,null,0,null,0,null,0,null,3,null,0,null,0,null,0,null,9,null,8,null,0,null,0,null,0,null,1,null,0,null,0,null,0,null
0500000US01029,Cleburne County, Alabama,15056,null,14490,null,13819,null,466,null,53,null,21,null,2,null,129,null,566,null,532,null,66,null,334,null,6,null,9,null,107,null,4,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,6,null,0,null,25,null,5,null,4,null,0,null,0,null,4,null,0,null,5,null,0,null,0,null,4,null,3,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,8,null,7,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,1,null,0,null,0,null,0,null,0,null,0,null,1,null,1,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null
0500000US01031,Coffee County, Alabama,53465,null,49358,null,37080,null,8760,null,640,null,909,null,61,null,1908,null,4107,null,3867,null,665,null,1088,null,393,null,32,null,1334,null,109,null,33,null,8,null,129,null,11,null,2,null,30,null,22,null,5,null,6,null,215,null,68,null,16,null,4,null,19,null,25,null,1,null,41,null,33,null,0,null,0,null,1,null,0,null,4,null,0,null,0,null,0,null,0,null,0,null,3,null,0,null,23,null,0,null,1,null,11,null,1,null,0,null,0,null,5,null,0,null,0,null,2,null,2,null,0,null,1,null,0,null,0,null,2,null,2,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null
0500000US01033,Colbert County, Alabama,57227,null,54530,null,43631,null,9286,null,270,null,432,null,9,null,902,null,2697,null,2620,null,682,null,1025,null,100,null,11,null,640,null,68,null,15,null,0,null,29,null,6,null,0,null,40,null,3,null,1,null,0,null,69,null,34,null,5,null,3,null,6,null,4,null,2,null,12,null,1,null,1,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,1,null,0,null,0,null,8,null,0,null,0,null,5,null,0,null,0,null,0,null,0,null,0,null,1,null,0,null,2,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null
0500000US01035,Conecuh County, Alabama,11597,null,11228,null,5912,null,5104,null,72,null,40,null,1,null,99,null,369,null,335,null,75,null,116,null,14,null,0,null,79,null,23,null,0,null,6,null,4,null,0,null,0,null,9,null,0,null,4,null,5,null,24,null,10,null,0,null,0,null,0,null,0,null,5,null,0,null,0,null,4,null,0,null,0,null,0,null,0,null,2,null,3,null,0,null,0,null,0,null,0,null,0,null,10,null,4,null,0,null,5,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,1,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null
0500000US01037,Coosa County, Alabama,10387,null,10033,null,6824,null,3008,null,31,null,8,null,0,null,162,null,354,null,311,null,100,null,111,null,2,null,3,null,54,null,14,null,0,null,1,null,16,null,2,null,0,null,5,null,3,null,0,null,0,null,21,null,8,null,0,null,2,null,0,null,8,null,2,null,1,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,22,null,0,null,0,null,18,null,0,null,1,null,0,null,0,null,1,null,2,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null
